NO,년도,학기,개설부서,교과목-분반,교과목명,"이수
구분","세부
분류","교과
연구",담당교수,"과정
구분",강/실/학,강의언어,시간표,강의실,"수강
정원","수강
인원",선수과목,"강의공유
대표교과목","강의
공유
대표","재수강
예외여부","폐강
여부","SYLL
ABUS","설명
영상","출석부
유무",Upload,"강의
방법",선택MOOC
61,2010,2학기,기초교육학부,GS0202-01,"음악: 피아노, 바이올린, 플룻, 기타, 밴드",필수,,교과,안혜선[61018],학사,2/0/0,,화 11:30~12:00,,15,12,Musical Instruments,,,N,N,view,,미등록,"Attendance
List",,
62,2010,2학기,기초교육학부,GS0202-02,"음악: 피아노, 바이올린, 플룻, 기타, 밴드",필수,,교과,안혜선[61018],학사,2/0/0,,화 13:00~13:30,,15,10,Musical Instruments,,,N,N,view,,미등록,"Attendance
List",,
63,2010,2학기,기초교육학부,GS0202-03,"음악: 피아노, 바이올린, 플룻, 기타, 밴드",필수,,교과,김혜영[61019],학사,2/0/0,,금 11:30~12:00,,15,4,Musical Instruments,,,N,N,view,,미등록,"Attendance
List",,
64,2010,2학기,기초교육학부,GS0202-04,"음악: 피아노, 바이올린, 플룻, 기타, 밴드",필수,,교과,김혜영[61019],학사,2/0/0,,금 13:00~13:30,,15,11,Musical Instruments,,,N,N,view,,미등록,"Attendance
List",,
65,2010,2학기,기초교육학부,GS0202-05,"음악: 피아노, 바이올린, 플룻, 기타, 밴드",필수,,교과,김보라[60355],학사,2/0/0,,금 11:30~12:00,,15,7,Musical Instruments,,,N,N,view,,미등록,"Attendance
List",,
66,2010,2학기,기초교육학부,GS0202-06,"음악: 피아노, 바이올린, 플룻, 기타, 밴드",필수,,교과,김보라[60355],학사,2/0/0,,금 13:00~13:30,,15,10,Musical Instruments,,,N,N,view,,미등록,"Attendance
List",,
67,2010,2학기,기초교육학부,GS0202-07,"음악: 피아노, 바이올린, 플룻, 기타, 밴드",필수,,교과,한근식[61094],학사,2/0/0,,금 11:30~12:00,,15,9,Musical Instruments,,,N,N,view,,미등록,"Attendance
List",,
68,2010,2학기,기초교육학부,GS0202-08,"음악: 피아노, 바이올린, 플룻, 기타, 밴드",필수,,교과,한근식[61094],학사,2/0/0,,금 13:00~13:30,,15,10,Musical Instruments,,,N,N,view,,미등록,"Attendance
List",,
69,2010,2학기,기초교육학부,GS0202-09,"음악: 피아노, 바이올린, 플룻, 기타, 밴드",필수,,교과,박영렬[61020],학사,2/0/0,,금 11:30~12:00,,15,6,Musical Instruments,,,N,N,view,,미등록,"Attendance
List",,
70,2010,2학기,기초교육학부,GS0202-10,"음악: 피아노, 바이올린, 플룻, 기타, 밴드",필수,,교과,박영렬[61020],학사,2/0/0,,금 13:00~13:30,,15,14,Musical Instruments,,,N,N,view,,미등록,"Attendance
List",,
71,2010,2학기,기초교육학부,GS1002-01,응용미적분학 및 연습 Ⅱ,필수,,교과,황치옥[60934],학사,3/1/3,,"월 09:00~09:30
금 09:30~11:00",,28,24,,,,N,N,view,,미등록,"Attendance
List",,
72,2010,2학기,기초교육학부,GS1002-02,응용미적분학 및 연습 Ⅱ,필수,,교과,김철[60930],학사,3/1/3,,"월 09:00~09:30
금 09:30~11:00",,28,28,,,,N,N,view,,미등록,"Attendance
List",,
73,2010,2학기,기초교육학부,GS1002-03,응용미적분학 및 연습 Ⅱ,필수,,교과,황치옥[60934],학사,3/1/3,,"수 09:00~09:30
금 10:00~11:30",,28,14,,,,N,N,view,,미등록,"Attendance
List",,
74,2010,2학기,기초교육학부,GS1002-04,응용미적분학 및 연습 Ⅱ,필수,,교과,송정민[61101],학사,3/1/3,,"수 09:00~09:30
금 10:00~11:30",,28,27,,,,N,N,view,,미등록,"Attendance
List",,
75,2010,2학기,기초교육학부,GS1102-01,일반물리 및 연습 Ⅱ,필수,,교과,유운종[60956],학사,3/1/3,,"월 09:30~11:00
수 09:30~10:00",,41,41,,,,N,N,view,,미등록,"Attendance
List",,
76,2010,2학기,기초교육학부,GS1102-02,일반물리 및 연습 Ⅱ,필수,,교과,유운종[60956],학사,3/1/3,,"월 11:00~11:30
수 10:00~10:30
금 09:00~09:30",,38,24,,,,N,N,view,,미등록,"Attendance
List",,
77,2010,2학기,기초교육학부,GS1104-01,고급물리 및 연습 Ⅱ,필수,,교과,송계휴[01066],학사,3/1/3,,"월 09:30~11:00
수 09:30~10:00",,35,29,General Physics & Rec. I or Advanced Physics & Rec I,,,N,N,view,,미등록,"Attendance
List",,
78,2010,2학기,기초교육학부,GS1111-01,일반물리 실험 Ⅰ,필수,,교과,유운종[60956],학사,0/2/1,,월 10:00~10:30,,20,16,General Physics I (CC121 or CC123) (may be taken concurrently),,,N,N,view,,미등록,"Attendance
List",,
79,2010,2학기,기초교육학부,GS1111-02,일반물리 실험 Ⅰ,필수,,교과,유운종[60956],학사,0/2/1,,화 09:30~10:00,,20,11,General Physics I (CC121 or CC123) (may be taken concurrently),,,N,N,view,,미등록,"Attendance
List",,
80,2010,2학기,기초교육학부,GS1111-03,일반물리 실험 Ⅰ,필수,,교과,유운종[60956],학사,0/2/1,,수 10:00~10:30,,20,10,General Physics I (CC121 or CC123) (may be taken concurrently),,,N,N,view,,미등록,"Attendance
List",,
81,2010,2학기,기초교육학부,GS1111-04,일반물리 실험 Ⅰ,필수,,교과,유운종[60956],학사,0/2/1,,목 09:30~10:00,,20,16,General Physics I (CC121 or CC123) (may be taken concurrently),,,N,N,view,,미등록,"Attendance
List",,
82,2010,2학기,기초교육학부,GS1111-05,일반물리 실험 Ⅰ,필수,,교과,유운종[60956],학사,0/2/1,,금 10:00~10:30,,20,13,General Physics I (CC121 or CC123) (may be taken concurrently),,,N,N,view,,미등록,"Attendance
List",,
83,2010,2학기,기초교육학부,GS1202-01,일반화학 및 연습 Ⅱ,필수,,교과,서지원[60955],학사,3/1/3,,"월 10:00~10:30
수 10:30~11:30",,29,29,CC131 General Chemistry & Recitation 1,,,N,N,view,,미등록,"Attendance
List",,
